Fastq_name	target	sple_info	experiment	type	otherID	sampleID	tissue	factor	condition	treatment	replicate	pair_ended	shortLabel	longLabel	TH_type	visibility	colorR	colorG	colorB	maxHeightPixels	autoScale	viewLimits_low	viewLimits_high	priority	windowingFunction
Rbb_S1_L001_R1_001.fastq.gz	RBBP4_E13.5	RBBP4_BG_E13.5_ChIP_repN1	DLX190407-13	ChIP		RBBP4_BG_E13.5_ChIP_repN1	BG	RBBP4	WT	E13.5	N1	no	RBBP4_BG_E13.5_ChIP_repN1	RBBP4_BG_E13.5_ChIP_repN1	bigWig	full	255	128	0	50	on	0	50	70152	mean

Input_S3_L001_R1_001.fastq.gz	RBBP4_E13.5	RBBP4_BG_E13.5_Input_repN1	DLX190407-13	Input		RBBP4_BG_E13.5_Input_repN1	BG	RBBP4	WT	E13.5	N1	no	RBBP4_BG_E13.5_Input_repN1	RBBP4_BG_E13.5_Input_repN1	bigWig	full	255	128	0	50	on	0	50	70153	

																									

# PBX1																									

SLL10_bc10_CACACA_L006_R1_001.fastq.gz	PBX1_E13.5	PBX1_BG_E13.5_ChIP_rep1	DLX190407-14	ChIP		PBX1_BG_E13.5_ChIP_rep1	BG	PBX1	WT	E13.5	1	no	PBX1_BG_E13.5_ChIP_rep1	PBX1_BG_E13.5_ChIP_rep1	bigWig	full	255	128	0	50	on	0	50	70160	mean

SLL10_bc09_ACACGA_L006_R1_001.fastq.gz	PBX1_E13.5	PBX1_BG_E13.5_Input_rep1	DLX190407-14	Input		PBX1_BG_E13.5_Input_rep1	BG	PBX1	WT	E13.5	1	no	PBX1_BG_E13.5_Input_rep1	PBX1_BG_E13.5_Input_rep1	bigWig	full	255	128	0	50	on	0	50	70161	

																									

# NR2F1																									

